Worker,Time,Mask,Real,Detected
A3CJVRJ34U70Y9,20,FALSE,Fear,Fear
A147F5PJTHOB8A,9,FALSE,Fear,Fear
A1NF6PELRKACS9,13,FALSE,Fear,Fear
A1IXVXZ5AYYNMJ,17,FALSE,Fear,Fear
A3GK90X2QOFR53,28,FALSE,Fear,Fear
A3GK90X2QOFR53,49,FALSE,Happiness,Happiness
A1FPCIKO68OQ63,9,FALSE,Happiness,Happiness
A130P4M9JPT4YA,8,FALSE,Happiness,Happiness
A2KXARDIOGJL8T,12,FALSE,Happiness,Happiness
AYJGJAIY0EXW,14,FALSE,Happiness,Happiness
A2RVSBEHUCNC6K,11,FALSE,Happiness,Happiness
A12B5MV7IHN855,8,FALSE,Happiness,Happiness
AM9XH69KBK5X5,54,FALSE,Happiness,Happiness
A2BO8M77CS3SGZ,8,FALSE,Happiness,Happiness
A171VJ9J60DSJU,18,FALSE,Happiness,Happiness
A1Y0ABOUJUMCWW,12,FALSE,Happiness,Happiness
A1AXD2Q0MREL8W,22,FALSE,Happiness,Happiness
A25DHXVNVC0VPW,7,FALSE,Happiness,Happiness
A1IXVXZ5AYYNMJ,8,FALSE,Happiness,Happiness
A31Z5TPD8QKE26,13,FALSE,Happiness,Happiness
A1IU5OP7BBZHZ7,14,FALSE,Happiness,Happiness
A3KU8DC7HJOGCM,10,FALSE,Happiness,Happiness
A3O6XMWN8W84L5,13,FALSE,Happiness,Happiness
A36QYJDZBOQ5PQ,13,FALSE,Happiness,Happiness
AVPD36WUJKJFS,8,FALSE,Happiness,Happiness
A3P7M9666KJCP,17,FALSE,Happiness,Happiness
A3B9OZQTE4US3T,12,FALSE,Happiness,Happiness
AWTP9JNX0WK2F,10,FALSE,Happiness,Happiness
A3L3ZFL1NYFTCF,15,FALSE,Happiness,Happiness
A122E99M2DQY1G,8,FALSE,Happiness,Happiness
A27VBVMMEX9GJB,17,FALSE,Happiness,Happiness
A2KJ983WWTEK4L,14,FALSE,Happiness,Happiness
A2CKYCHQGXUI10,32,FALSE,Happiness,Happiness
A1NF6PELRKACS9,15,FALSE,Happiness,Happiness
A3J64XWXR1DB78,6,FALSE,Happiness,Happiness
AM2W23THD4CI7,13,FALSE,Happiness,Happiness
A37DR4QS4A5W5W,12,FALSE,Happiness,Happiness
A3EG4C9T4F5DUR,7,FALSE,Happiness,Happiness
A1N9A4TGE3XK3V,19,FALSE,Happiness,Happiness
A147F5PJTHOB8A,9,FALSE,Happiness,Happiness
A36H3PO6JZD414,7,FALSE,Happiness,Happiness
A28SFTKTGBSD9,19,FALSE,Happiness,Happiness
AHAF93PYUCVQ1,12,FALSE,Happiness,Happiness
A3CJVRJ34U70Y9,19,FALSE,Happiness,Happiness
AX8EX2QI5HIQQ,14,FALSE,Happiness,Happiness
AQ53YJDPDDLZ,14,FALSE,Happiness,Happiness
A3N5P5VO81FIJ6,5,FALSE,Happiness,Happiness
A353KETOEN0W8T,11,FALSE,Happiness,Happiness
A1E2Y158WG5FR6,7,FALSE,Happiness,Happiness
A3UIVQJXY62XU8,9,FALSE,Happiness,Happiness
A2RVSBEHUCNC6K,22,FALSE,Neutral,Sadness
A36H3PO6JZD414,16,FALSE,Neutral,Anger
A3J64XWXR1DB78,9,FALSE,Neutral,Neutral
A3GK90X2QOFR53,11,FALSE,Neutral,Sadness
A12B5MV7IHN855,5,FALSE,Neutral,Neutral
A1NKBXOTZAI1YK,6,FALSE,Neutral,Neutral
A2KXARDIOGJL8T,14,FALSE,Neutral,Neutral
A3CJVRJ34U70Y9,22,FALSE,Neutral,Neutral
AUK4KGOJP9F0H,13,FALSE,Neutral,Anger
AYJGJAIY0EXW,18,FALSE,Neutral,Anger
A3EG4C9T4F5DUR,14,FALSE,Neutral,Anger
A219VCQZADQ45W,13,FALSE,Neutral,Neutral
A2BO8M77CS3SGZ,11,FALSE,Neutral,Anger
A3KU8DC7HJOGCM,9,FALSE,Neutral,Sadness
AWTP9JNX0WK2F,20,FALSE,Neutral,Sadness
AHAF93PYUCVQ1,14,FALSE,Neutral,Neutral
AVPD36WUJKJFS,22,FALSE,Neutral,Sadness
A3P7M9666KJCP,19,FALSE,Neutral,Sadness
A1FPCIKO68OQ63,12,FALSE,Neutral,Anger
A2KJ983WWTEK4L,16,FALSE,Neutral,Sadness
A28SFTKTGBSD9,11,FALSE,Neutral,Anger
A2CKYCHQGXUI10,21,FALSE,Neutral,Neutral
A1Y3PSVSU557SW,16,FALSE,Neutral,Anger
A31Z5TPD8QKE26,9,FALSE,Neutral,Anger
AX8EX2QI5HIQQ,19,FALSE,Neutral,Sadness
AM9XH69KBK5X5,39,FALSE,Neutral,Anger
A1E2Y158WG5FR6,6,FALSE,Neutral,Neutral
A27VBVMMEX9GJB,13,FALSE,Neutral,Anger
A1IXVXZ5AYYNMJ,23,FALSE,Neutral,Anger
A25DHXVNVC0VPW,8,FALSE,Neutral,Fear
A1Y0ABOUJUMCWW,12,FALSE,Neutral,Anger
A3O6XMWN8W84L5,23,FALSE,Neutral,Neutral
A37DR4QS4A5W5W,13,FALSE,Neutral,Neutral
A130P4M9JPT4YA,23,FALSE,Neutral,Fear
A353KETOEN0W8T,15,FALSE,Neutral,Neutral
A36QYJDZBOQ5PQ,29,FALSE,Neutral,Neutral
A1IU5OP7BBZHZ7,24,FALSE,Neutral,Anger
A3L3ZFL1NYFTCF,21,FALSE,Neutral,Neutral
A171VJ9J60DSJU,17,FALSE,Neutral,Anger
A2F0X4LN9N4O4C,7,FALSE,Neutral,Anger
A1N9A4TGE3XK3V,15,FALSE,Neutral,Neutral
A3B9OZQTE4US3T,21,FALSE,Neutral,Neutral
A1NF6PELRKACS9,14,FALSE,Neutral,Neutral
A147F5PJTHOB8A,11,FALSE,Neutral,Disgust
A122E99M2DQY1G,18,FALSE,Neutral,Neutral
A3GK90X2QOFR53,9,FALSE,Sadness,Fear
A36QYJDZBOQ5PQ,13,FALSE,Sadness,Anger
A3CJVRJ34U70Y9,21,FALSE,Sadness,Sadness
A3O6XMWN8W84L5,28,FALSE,Sadness,Fear
A130P4M9JPT4YA,12,FALSE,Sadness,Sadness
A3N5P5VO81FIJ6,7,FALSE,Sadness,Sadness
A353KETOEN0W8T,14,FALSE,Sadness,Sadness
A1NF6PELRKACS9,12,FALSE,Sadness,Sadness
A1AXD2Q0MREL8W,53,FALSE,Sadness,Sadness
A1E2Y158WG5FR6,8,FALSE,Sadness,Fear
A3J64XWXR1DB78,7,FALSE,Sadness,Disgust
A2KXARDIOGJL8T,16,FALSE,Sadness,Sadness
A27VBVMMEX9GJB,12,FALSE,Sadness,Sadness
A3B9OZQTE4US3T,20,FALSE,Sadness,Sadness
A122E99M2DQY1G,14,FALSE,Sadness,Sadness
A1IXVXZ5AYYNMJ,20,FALSE,Sadness,Sadness
A3KU8DC7HJOGCM,15,FALSE,Sadness,Fear
AX8EX2QI5HIQQ,17,FALSE,Sadness,Fear
A1IU5OP7BBZHZ7,10,FALSE,Sadness,Sadness
A3EG4C9T4F5DUR,10,FALSE,Sadness,Sadness
A2CKYCHQGXUI10,25,FALSE,Sadness,Sadness
A25DHXVNVC0VPW,11,FALSE,Sadness,Disgust
A28SFTKTGBSD9,15,FALSE,Sadness,Disgust
A12B5MV7IHN855,6,FALSE,Sadness,Disgust
A3P7M9666KJCP,14,FALSE,Sadness,Fear
A1Y0ABOUJUMCWW,11,FALSE,Sadness,Sadness
A36H3PO6JZD414,9,FALSE,Sadness,Sadness
A31Z5TPD8QKE26,16,FALSE,Sadness,Fear
AM2W23THD4CI7,11,FALSE,Sadness,Sadness
A1FPCIKO68OQ63,9,FALSE,Sadness,Sadness
AHAF93PYUCVQ1,15,FALSE,Sadness,Sadness
A2RVSBEHUCNC6K,23,FALSE,Sadness,Sadness
A37DR4QS4A5W5W,11,FALSE,Sadness,Sadness
A3UIVQJXY62XU8,25,FALSE,Sadness,Sadness
A3L3ZFL1NYFTCF,16,FALSE,Sadness,Sadness
AYJGJAIY0EXW,17,FALSE,Sadness,Fear
A171VJ9J60DSJU,21,FALSE,Sadness,Sadness
AM9XH69KBK5X5,25,FALSE,Sadness,Sadness
A1N9A4TGE3XK3V,52,FALSE,Sadness,Disgust
AVPD36WUJKJFS,27,FALSE,Sadness,Sadness
A2KJ983WWTEK4L,14,FALSE,Sadness,Sadness
A2BO8M77CS3SGZ,10,FALSE,Sadness,Sadness
A147F5PJTHOB8A,10,FALSE,Sadness,Sadness
AWTP9JNX0WK2F,12,FALSE,Sadness,Sadness
A2MQ6VUSKCQ9FH,7,FALSE,Sadness,Fear
A12B5MV7IHN855,4,TRUE,Anger,Anger
AYJGJAIY0EXW,16,TRUE,Anger,Anger
A36QYJDZBOQ5PQ,10,TRUE,Anger,Anger
A353KETOEN0W8T,26,TRUE,Anger,Anger
A31Z5TPD8QKE26,7,TRUE,Anger,Anger
A1AXD2Q0MREL8W,53,TRUE,Anger,Anger
A2KJ983WWTEK4L,17,TRUE,Anger,Anger
AM2W23THD4CI7,21,TRUE,Anger,Anger
A3KU8DC7HJOGCM,14,TRUE,Anger,Anger
A122E99M2DQY1G,12,TRUE,Anger,Anger
A3GK90X2QOFR53,6,TRUE,Anger,Anger
AHAF93PYUCVQ1,20,TRUE,Anger,Anger
A1IXVXZ5AYYNMJ,10,TRUE,Anger,Anger
A1N9A4TGE3XK3V,15,TRUE,Anger,Anger
A36H3PO6JZD414,8,TRUE,Anger,Anger
A3P7M9666KJCP,13,TRUE,Anger,Anger
AM9XH69KBK5X5,27,TRUE,Anger,Anger
A1NF6PELRKACS9,14,TRUE,Anger,Anger
A25DHXVNVC0VPW,5,TRUE,Anger,Anger
A171VJ9J60DSJU,23,TRUE,Anger,Anger
A3L3ZFL1NYFTCF,16,TRUE,Anger,Anger
A147F5PJTHOB8A,8,TRUE,Anger,Anger
AVPD36WUJKJFS,21,TRUE,Anger,Anger
A1NKBXOTZAI1YK,7,TRUE,Anger,Anger
A219VCQZADQ45W,12,TRUE,Anger,Anger
A37DR4QS4A5W5W,14,TRUE,Anger,Anger
A1Y0ABOUJUMCWW,10,TRUE,Anger,Anger
A3EG4C9T4F5DUR,10,TRUE,Anger,Sadness
A1IU5OP7BBZHZ7,19,TRUE,Anger,Anger
A3UIVQJXY62XU8,5,TRUE,Anger,Anger
A27VBVMMEX9GJB,13,TRUE,Anger,Anger
A1E2Y158WG5FR6,5,TRUE,Anger,Anger
A2BO8M77CS3SGZ,9,TRUE,Anger,Anger
A130P4M9JPT4YA,14,TRUE,Anger,Anger
A1FPCIKO68OQ63,11,TRUE,Anger,Anger
A3J64XWXR1DB78,7,TRUE,Anger,Anger
AX8EX2QI5HIQQ,9,TRUE,Anger,Anger
A3B9OZQTE4US3T,10,TRUE,Anger,Anger
AWTP9JNX0WK2F,11,TRUE,Anger,Anger
A2KXARDIOGJL8T,17,TRUE,Anger,Anger
A3O6XMWN8W84L5,20,TRUE,Anger,Anger
A3CJVRJ34U70Y9,20,TRUE,Anger,Anger
A2RVSBEHUCNC6K,27,TRUE,Anger,Disgust
A2CKYCHQGXUI10,41,TRUE,Anger,Anger
A28SFTKTGBSD9,14,TRUE,Anger,Anger
A28SFTKTGBSD9,11,TRUE,Disgust,Anger
AWTP9JNX0WK2F,14,TRUE,Disgust,Disgust
A1FPCIKO68OQ63,10,TRUE,Disgust,Happiness
A1NF6PELRKACS9,12,TRUE,Disgust,Disgust
A2KXARDIOGJL8T,17,TRUE,Disgust,Disgust
A1IU5OP7BBZHZ7,20,TRUE,Disgust,Happiness
A147F5PJTHOB8A,11,TRUE,Disgust,Anger
A3KU8DC7HJOGCM,16,TRUE,Disgust,Disgust
A1NKBXOTZAI1YK,7,TRUE,Disgust,Disgust
A3B9OZQTE4US3T,11,TRUE,Disgust,Fear
A219VCQZADQ45W,13,TRUE,Disgust,Disgust
A1Y3PSVSU557SW,12,TRUE,Disgust,Anger
AM9XH69KBK5X5,33,TRUE,Disgust,Disgust
A353KETOEN0W8T,38,TRUE,Disgust,Disgust
A1Y0ABOUJUMCWW,12,TRUE,Disgust,Anger
A3O6XMWN8W84L5,31,TRUE,Disgust,Disgust
A36QYJDZBOQ5PQ,29,TRUE,Disgust,Sadness
A37DR4QS4A5W5W,14,TRUE,Disgust,Disgust
A3N5P5VO81FIJ6,6,TRUE,Disgust,Happiness
A2BO8M77CS3SGZ,10,TRUE,Disgust,Disgust
A3CJVRJ34U70Y9,24,TRUE,Disgust,Disgust
A3GK90X2QOFR53,45,TRUE,Disgust,Anger
A3P7M9666KJCP,18,TRUE,Disgust,Anger
A12B5MV7IHN855,10,TRUE,Disgust,Happiness
A36H3PO6JZD414,13,TRUE,Disgust,Disgust
A2F0X4LN9N4O4C,6,TRUE,Disgust,Disgust
AX8EX2QI5HIQQ,16,TRUE,Disgust,Disgust
A130P4M9JPT4YA,10,TRUE,Disgust,Disgust
A3EG4C9T4F5DUR,18,TRUE,Disgust,Anger
A2RVSBEHUCNC6K,31,TRUE,Disgust,Sadness
AHAF93PYUCVQ1,12,TRUE,Disgust,Disgust
A27VBVMMEX9GJB,16,TRUE,Disgust,Disgust
A171VJ9J60DSJU,21,TRUE,Disgust,Happiness
A2UIGDOLX5RV95,8,TRUE,Disgust,Anger
AYJGJAIY0EXW,18,TRUE,Disgust,Anger
A3L3ZFL1NYFTCF,22,TRUE,Disgust,Disgust
A1IXVXZ5AYYNMJ,23,TRUE,Disgust,Anger
